,orig.ident,nCount_RNA,nFeature_RNA,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,n_genes,leiden,Celltype
BC04BLOOD4_218,32,1516.854320049286,574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,574,15,B
BC04BLOOD4_272,32,1509.2908656597137,623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,623,15,B
BC04BLOOD4_290,32,1541.3994381427765,595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,595,15,B
BC04BLOOD4_340,32,1520.388002872467,583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,583,15,B
BC04BLOOD4_498,32,1763.4146173000336,712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,712,15,B
BC04BLOOD4_715,32,1495.8752546310425,578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,578,15,B
BC04BLOOD4_962,32,1545.467123746872,596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,596,15,B
BC04BLOOD4_991,32,1560.4255285263062,637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,637,15,B
BC04BLOOD4_1052,32,1364.1599717140198,506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,506,15,B
BC04BLOOD4_1096,32,1696.1752636432648,698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,698,15,B
BC04BLOOD4_1154,32,1560.3519923686981,629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,629,15,B
BC04BLOOD4_1245,32,1683.7843158245087,676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,676,15,B
BC04BLOOD4_1283,32,1480.4258811473846,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,780,10,B
BC04BLOOD4_1545,32,1539.5677602291107,607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,607,15,B
